id,name,discount_policy,sequence,currency_id/id,item_ids/applied_on,item_ids/base,item_ids/compute_price,item_ids/min_quantity,item_ids/fixed_price,item_ids/product_tmpl_id/id
,,,,,Product,Public Price,Fix Price,1,35000,hsc_CHG1028
,,,,,Product,Public Price,Fix Price,1,30000,hsc_CHG1029
,,,,,Product,Public Price,Fix Price,1,35000,hsc_CHG1030
,,,,,Product,Public Price,Fix Price,1,40000,hsc_CHG1031
,,,,,Product,Public Price,Fix Price,1,35000,hsc_CHG1032
,,,,,Product,Public Price,Fix Price,1,35000,hsc_CHG1033
,,,,,Product,Public Price,Fix Price,1,25000,hsc_CHG1034
,,,,,Product,Public Price,Fix Price,1,35000,hsc_CHG1035
,,,,,Product,Public Price,Fix Price,1,40000,hsc_CHG1036
,,,,,Product,Public Price,Fix Price,1,55000,hsc_CHG1037
,,,,,Product,Public Price,Fix Price,1,40000,hsc_CHG1038
,,,,,Product,Public Price,Fix Price,1,40000,hsc_CHG1039
,,,,,Product,Public Price,Fix Price,1,30000,hsc_CHG1040
,,,,,Product,Public Price,Fix Price,1,45000,hsc_CHG1041
,,,,,Product,Public Price,Fix Price,1,35000,hsc_CHG1042
,,,,,Product,Public Price,Fix Price,1,45000,hsc_CHG1043
,,,,,Product,Public Price,Fix Price,1,30000,hsc_CHG1044
,,,,,Product,Public Price,Fix Price,1,40000,hsc_CHG1045
,,,,,Product,Public Price,Fix Price,1,35000,hsc_CHG1046
,,,,,Product,Public Price,Fix Price,1,40000,hsc_CHG1047
,,,,,Product,Public Price,Fix Price,1,45000,hsc_CHG1048
,,,,,Product,Public Price,Fix Price,1,40000,hsc_CHG1049
,,,,,Product,Public Price,Fix Price,1,35000,hsc_CHG1050
,,,,,Product,Public Price,Fix Price,1,35000,hsc_CHG1051
,,,,,Product,Public Price,Fix Price,1,30000,hsc_CHG1052
,,,,,Product,Public Price,Fix Price,1,35000,hsc_CHG1053
,,,,,Product,Public Price,Fix Price,1,40000,hsc_CHG1054
,,,,,Product,Public Price,Fix Price,1,50000,hsc_CHG1055
,,,,,Product,Public Price,Fix Price,1,35000,hsc_CHG1056
,,,,,Product,Public Price,Fix Price,1,25000,hsc_CHG1057
,,,,,Product,Public Price,Fix Price,1,40000,hsc_CHG1058
,,,,,Product,Public Price,Fix Price,1,45000,hsc_CHG1059
,,,,,Product,Public Price,Fix Price,1,25000,hsc_CHG1060
,,,,,Product,Public Price,Fix Price,1,45000,hsc_CHG1061
,,,,,Product,Public Price,Fix Price,1,35000,hsc_CHG1062
,,,,,Product,Public Price,Fix Price,1,45000,hsc_CHG1063
,,,,,Product,Public Price,Fix Price,1,40000,hsc_CHG1064
,,,,,Product,Public Price,Fix Price,1,40000,hsc_CHG1065
,,,,,Product,Public Price,Fix Price,1,50000,hsc_CHG1066
,,,,,Product,Public Price,Fix Price,1,45000,hsc_CHG1067
,,,,,Product,Public Price,Fix Price,1,40000,hsc_CHG1068
,,,,,Product,Public Price,Fix Price,1,45000,hsc_CHG1069
,,,,,Product,Public Price,Fix Price,1,25000,hsc_CHG1070
